id,ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,home_link
6523,00A,heliport,Total Rf Heliport,11,NA,US,US-PA,Bensalem,
323361,00AA,small_airport,Aero B Ranch Airport,3435,NA,US,US-KS,Leoti,
6524,00AK,small_airport,Lowell Field,450,NA,US,US-AK,Anchor Point,
6525,00AL,small_airport,Epps Airpark,820,NA,US,US-AL,Harvest,
6526,00AR,closed,Newport Hospital & Clinic Heliport,237,NA,US,US-AR,Newport,
322127,00AS,small_airport,Fulton Airport,1100,NA,US,US-OK,Alex,
6527,00AZ,small_airport,Cordes Airport,3810,NA,US,US-AZ,Cordes,
6528,00CA,small_airport,Goldstone /Gts/ Airport,3038,NA,US,US-CA,Barstow,
324424,00CL,small_airport,Williams Ag Airport,87,NA,US,US-CA,Biggs,
322658,00CN,heliport,Kitchen Creek Helibase Heliport,3350,NA,US,US-CA,Pine Valley,
6529,00CO,closed,Cass Field,4830,NA,US,US-CO,Briggsdale,
6531,00FA,small_airport,Grass Patch Airport,53,NA,US,US-FL,Bushnell,
6532,00FD,heliport,Ringhaver Heliport,25,NA,US,US-FL,Riverview,
6533,00FL,small_airport,River Oak Airport,35,NA,US,US-FL,Okeechobee,
6534,00GA,small_airport,Lt World Airport,700,NA,US,US-GA,Lithonia,
6535,00GE,heliport,Caffrey Heliport,957,NA,US,US-GA,Hiram,
6536,00HI,heliport,Kaupulehu Heliport,43,NA,US,US-HI,Kailua/Kona,
6537,00ID,small_airport,Delta Shores Airport,2064,NA,US,US-ID,Clark Fork,
322581,00IG,small_airport,Goltl Airport,3359,NA,US,US-KS,McDonald,
6538,00II,heliport,Bailey Generation Station Heliport,600,NA,US,US-IN,Chesterton,
6539,00IL,small_airport,Hammer Airport,840,NA,US,US-IL,Polo,
6540,00IN,heliport,St Mary Medical Center Heliport,634,NA,US,US-IN,Hobart,
6541,00IS,small_airport,Hayenga's Cant Find Farms Airport,820,NA,US,US-IL,Kings,
6542,00KS,small_airport,Hayden Farm Airport,1100,NA,US,US-KS,Gardner,
6543,00KY,small_airport,Robbins Roost Airport,1265,NA,US,US-KY,Stanford,
45437,00LA,heliport,Shell Chemical East Site Heliport,15,NA,US,US-LA,Gonzales,
6544,00LL,heliport,Ac & R Components Heliport,600,NA,US,US-IL,Chatham,
6545,00LS,small_airport,Lejeune Airport,12,NA,US,US-LA,Esterwood,
6546,00MD,small_airport,Slater Field,45,NA,US,US-MD,Federalsburg,
6547,00MI,heliport,Dow Chemical Heliport,588,NA,US,US-MI,Ludington,
6548,00MN,small_airport,Battle Lake Municipal Airport,1365,NA,US,US-MN,Battle Lake,
6549,00MO,small_airport,Cooper Flying Service Airport,970,NA,US,US-MO,Alba,
6550,00MT,closed,Sands Ranch Airport,2600,NA,US,US-MT,Havre,
6551,00N,small_airport,Bucks Airport,105,NA,US,US-NJ,Bridgeton,
6552,00NC,small_airport,North Raleigh Airport,348,NA,US,US-NC,Louisburg,
6553,00NJ,heliport,Colgate-Piscataway Heliport,78,NA,US,US-NJ,New Brunswick,
321919,00NK,seaplane_base,Cliche Cove Seaplane Base,96,NA,US,US-NY,Beekmantown,
6554,00NY,small_airport,Weiss Airfield,1000,NA,US,US-NY,West Bloomfield,
6555,00OH,small_airport,Exit 3 Airport,785,NA,US,US-OH,Wauseon,
6556,00OI,heliport,Miami Valley Hospital Heliport,905,NA,US,US-OH,Dayton,
